Axe,path,weight,name,name_layer,colonne,Prétraitement,table,condition
Environnement,D:\dumping_codes\Donnee\Milieux_Humide\Milieux_Humide_poly.shp,1,milieu_hum,,,proximity,100:10;300:50;800:80;10000000:100,
Social,D:\dumping_codes\Donnee\utilisation_territoire_2018\role_eval.shp,0.5,batiments,,,,0:25;1:100,"""ValBatimen""='0'"
Social,D:\dumping_codes\Donnee\Hebergement\hebergement_buffer.shp,0.5,Hébergement,,,proximity,100:100;500:80;2000:60;9000:40;4000:20;4000:10,
Physique,D:\dumping_codes\Donnee\DEM_Estrie\extentZone\dem_rep_slope_20.tif,1,slope,,,,4:100;8:50;12:10;300:1,
Economique,D:\dumping_codes\Donnee\utilisation_territoire_2018\role_eval.shp,0.4,Superficie,Valeur,superfi,,5000:20;100000:40;400000:60;1000000:80;999999999:100,
Economique,D:\dumping_codes\Donnee\utilisation_territoire_2018\role_eval.shp,0.3,Valeur,Valeur,valsup,,7:100;34:80;65:60;102:40;10000000000000000:20,
Economique,D:\dumping_codes\Donnee\Route\routeBuffered_clip_fix.shp,0.3,Route,,,proximity,1000:100;2500:80;5000:60;9000:40;99999999:20,
